City,Relationship,Cause,Effect,Lag,F-statistic,p-value,Chi-squared test (p-value)
Kraków,Ukrainian refugees in Poland (UNHCR) → Wikipedia views in Ukrainian,Ukrainian refugees in Poland (UNHCR),Wikipedia views in Ukrainian,8,8.5023,0.0000,71.3032 (p = 0.0000)
Lublin,Ukrainian refugees in Poland (UNHCR) → Wikipedia views in Ukrainian,Ukrainian refugees in Poland (UNHCR),Wikipedia views in Ukrainian,8,1.6805,0.1018,14.0933 (p = 0.0794)
Warsaw,Ukrainian refugees in Poland (UNHCR) → Wikipedia views in Ukrainian,Ukrainian refugees in Poland (UNHCR),Wikipedia views in Ukrainian,8,6.5972,0.0000,55.3263 (p = 0.0000)
Białystok,Ukrainian refugees in Poland (UNHCR) → Wikipedia views in Ukrainian,Ukrainian refugees in Poland (UNHCR),Wikipedia views in Ukrainian,8,8.4468,0.0000,70.8382 (p = 0.0000)
Gliwice,Ukrainian refugees in Poland (UNHCR) → Wikipedia views in Ukrainian,Ukrainian refugees in Poland (UNHCR),Wikipedia views in Ukrainian,8,4.3188,0.0001,36.2190 (p = 0.0000)
Wrocław,Ukrainian refugees in Poland (UNHCR) → Wikipedia views in Ukrainian,Ukrainian refugees in Poland (UNHCR),Wikipedia views in Ukrainian,17,2.8308,0.0002,53.3061 (p = 0.0000)
Radom,Ukrainian refugees in Poland (UNHCR) → Wikipedia views in Ukrainian,Ukrainian refugees in Poland (UNHCR),Wikipedia views in Ukrainian,15,2.4844,0.0018,40.7566 (p = 0.0003)
Częstochowa,Ukrainian refugees in Poland (UNHCR) → Wikipedia views in Ukrainian,Ukrainian refugees in Poland (UNHCR),Wikipedia views in Ukrainian,8,5.4890,0.0000,46.0326 (p = 0.0000)
Rzeszów,Ukrainian refugees in Poland (UNHCR) → Wikipedia views in Ukrainian,Ukrainian refugees in Poland (UNHCR),Wikipedia views in Ukrainian,8,1.5555,0.1370,13.0453 (p = 0.1103)
Poznań,Ukrainian refugees in Poland (UNHCR) → Wikipedia views in Ukrainian,Ukrainian refugees in Poland (UNHCR),Wikipedia views in Ukrainian,8,10.9263,0.0000,91.6318 (p = 0.0000)
Gdynia,Ukrainian refugees in Poland (UNHCR) → Wikipedia views in Ukrainian,Ukrainian refugees in Poland (UNHCR),Wikipedia views in Ukrainian,8,6.5065,0.0000,54.5655 (p = 0.0000)
Toruń,Wikipedia views in Ukrainian → Ukrainian refugees in Poland (UNHCR),Wikipedia views in Ukrainian,Ukrainian refugees in Poland (UNHCR),8,2.8956,0.0039,24.2837 (p = 0.0021)
Kielce,Wikipedia views in Ukrainian → Ukrainian refugees in Poland (UNHCR),Wikipedia views in Ukrainian,Ukrainian refugees in Poland (UNHCR),8,1.5733,0.1314,13.1942 (p = 0.1053)
Sosnowiec,Wikipedia views in Ukrainian → Ukrainian refugees in Poland (UNHCR),Wikipedia views in Ukrainian,Ukrainian refugees in Poland (UNHCR),8,0.6925,0.6982,5.8080 (p = 0.6687)
Katowice,Wikipedia views in Ukrainian → Ukrainian refugees in Poland (UNHCR),Wikipedia views in Ukrainian,Ukrainian refugees in Poland (UNHCR),8,0.8625,0.5484,7.2329 (p = 0.5117)
Bydgoszcz,Wikipedia views in Ukrainian → Ukrainian refugees in Poland (UNHCR),Wikipedia views in Ukrainian,Ukrainian refugees in Poland (UNHCR),8,1.7059,0.0957,14.3060 (p = 0.0741)
Łódź,Wikipedia views in Ukrainian → Ukrainian refugees in Poland (UNHCR),Wikipedia views in Ukrainian,Ukrainian refugees in Poland (UNHCR),8,0.6544,0.7316,5.4877 (p = 0.7044)
Gdańsk,Wikipedia views in Ukrainian → Ukrainian refugees in Poland (UNHCR),Wikipedia views in Ukrainian,Ukrainian refugees in Poland (UNHCR),8,2.4832,0.0125,20.8248 (p = 0.0076)
Szczecin,Wikipedia views in Ukrainian → Ukrainian refugees in Poland (UNHCR),Wikipedia views in Ukrainian,Ukrainian refugees in Poland (UNHCR),8,1.4250,0.1845,11.9505 (p = 0.1534)
