,,weekly_pre_median,weekly_post_median,diff_weekly_median,rel_change_max_within1month,rel_change_max_time_within1month
Lublin,Japanese,3.197644787898246e-07,4.0322784592893395e-07,8.346336713910935e-08,265.94978910287693,2022-03-21
Lublin,Spanish; Castilian,1.1760097919896243e-06,1.5200948438826084e-06,3.4408505189298417e-07,203.64489243946446,2022-03-07
Lublin,French,1.6251096058170771e-06,1.9441353589009765e-06,3.190257530838994e-07,252.4297445818267,2022-02-28
Lublin,Italian,2.148340357174688e-06,2.9969814694401936e-06,8.486411122655057e-07,358.1785755088241,2022-02-28
Lublin,Chinese,6.417705199331678e-07,8.887962527958213e-07,2.470257328626535e-07,391.23724339313173,2022-03-14
Lublin,Persian,4.371588823356727e-07,7.14724723823467e-07,2.7756584148779433e-07,257.33746978649225,2022-02-28
Lublin,Portuguese,9.366973338814497e-07,1.1594988144064795e-06,2.2280148052502975e-07,269.04271153656157,2022-02-28
Lublin,Arabic,5.483938714116348e-07,6.947493580038707e-07,1.4635548659223589e-07,219.54414727189345,2022-02-28
Lublin,Turkish,1.3709311058549177e-06,1.9034690470724157e-06,5.32537941217498e-07,74.09314391540049,2022-03-14
Lublin,Indonesian,1.4181833872083474e-07,2.84679568620543e-07,1.4286122989970827e-07,200.20805504982425,2022-02-28
Lublin,Dutch; Flemish,3.354071262877517e-06,4.311387869382457e-06,9.5731660650494e-07,524.9803292334443,2022-03-07
Poznań,English,2.73425744144807e-06,3.563261064096969e-06,8.290036226488986e-07,66.89612933682562,2022-03-21
Poznań,Polish,0.00011563826410611811,0.00013936706211397715,2.372879800785904e-05,3.3503922166940647,2022-03-14
Poznań,Russian,9.53196140241018e-06,1.2311143505027044e-05,2.7791821026168637e-06,103.1617735644744,2022-03-07
Poznań,Ukrainian,2.2451900042413943e-05,3.5230902471429455e-05,1.2779002429015513e-05,334.1812599308012,2022-03-07
Poznań,Lithuanian,1.666391298459191e-05,3.42299553189934e-05,1.756604233440149e-05,112.5585853914218,2022-03-21
Poznań,German,1.1325163384535374e-05,1.3914088135786168e-05,2.588924751250794e-06,36.40705767427668,2022-03-07
Poznań,Japanese,8.430489934710941e-07,1.0507213728301964e-06,2.0767237935910238e-07,124.22807176242489,2022-03-21
Poznań,Spanish; Castilian,2.3281977351270875e-06,2.938667223379937e-06,6.104694882528497e-07,99.07984552958129,2022-03-14
Poznań,French,3.154307419732134e-06,3.4707484129976866e-06,3.1644099326555245e-07,90.5137895374151,2022-02-28
Poznań,Italian,3.4794449213902263e-06,4.967275488677356e-06,1.4878305672871298e-06,74.10993189957718,2022-02-28
Poznań,Chinese,1.6257709633984218e-06,2.5367746255323362e-06,9.110036621339144e-07,110.4796674156272,2022-03-21
Poznań,Persian,8.770723575297758e-07,1.2970864988052626e-06,4.200141412754867e-07,134.50271454738555,2022-02-28
Poznań,Portuguese,1.6351908774663175e-06,2.156832960213762e-06,5.216420827474443e-07,69.89123185327281,2022-02-28
Poznań,Arabic,9.35139689753272e-07,1.452244919940416e-06,5.17105230187144e-07,129.49854868354853,2022-03-21
Poznań,Turkish,2.754444234562595e-06,3.989934093879414e-06,1.2354898593168187e-06,70.36953624778073,2022-03-21
Poznań,Indonesian,6.460945048585538e-07,8.138862644927016e-07,1.677917596341478e-07,96.3611966814678,2022-03-14
Poznań,Dutch; Flemish,8.61623694993631e-06,1.2319846780380857e-05,3.703609830444548e-06,98.33889778336649,2022-02-28
Radom,English,4.805110252269454e-07,5.457886576733268e-07,6.527763244638139e-08,53.22152578682322,2022-02-28
Radom,Polish,5.589539011023793e-05,6.538696224692877e-05,9.491572136690842e-06,20.710612334092815,2022-03-14
